activity_id,data,nome,tipo,duracao_s,distancia_m,calorias,fc_media,fc_maxima,velocidade_media,velocidade_maxima,elevacao_ganho,efeito_aerobico,efeito_anaerobico,carga_atividade,label_efeito,min_moderados,min_vigorosos,body_battery_impacto,temperatura_min,temperatura_max,local,hr_zona_1_s,hr_zona_2_s,hr_zona_3_s,hr_zona_4_s,hr_zona_5_s
22640181106,2026-04-24,Pool Swim,lap_swimming,2855.993896484375,1400.0,375.0,120.0,145.0,0.6970000267028809,1.847000002861023,,2.0,0.4000000059604645,29.954864501953125,AEROBIC_BASE,30,14,,,,,1620.604,1125.376,0.0,0.0,0.0
22628013082,2026-04-23,São Vicente Running,running,3117.847900390625,7903.68017578125,510.0,126.0,139.0,2.5350000858306885,3.013999938964844,6.0,2.299999952316284,0.0,37.58961486816406,AEROBIC_BASE,2,49,-13,27.0,30.0,São Vicente,434.441,2676.868,0.0,0.0,0.0
22615991612,2026-04-22,Pool Swim,lap_swimming,2638.56591796875,1200.0,301.0,113.0,140.0,0.6769999861717224,1.3450000286102295,,1.399999976158142,0.0,16.865524291992188,RECOVERY,28,9,,,,,1803.814,543.94,0.0,0.0,0.0
22615458589,2026-04-22,São Vicente Cycling,cycling,2807.048095703125,16745.490234375,262.0,104.0,122.0,5.966000080108643,7.59499979019165,31.0,0.8999999761581421,0.0,10.164947509765625,RECOVERY,43,0,-7,22.0,30.0,São Vicente,2245.579,22.308,0.0,0.0,0.0
22604121808,2026-04-21,São Vicente - Cycling Threshold,cycling,2770.985107421875,19150.869140625,462.0,132.0,173.0,6.910999774932862,8.687000274658203,14.0,3.0,0.4000000059604645,75.65011596679688,AEROBIC_BASE,16,28,-11,22.0,28.0,São Vicente,839.861,1340.483,509.226,0.0,0.0
22591802393,2026-04-20,Strength,strength_training,1987.156005859375,0.0,158.0,98.0,131.0,0.0,,,0.5,0.0,6.1662445068359375,AEROBIC_BASE,19,0,-3,,,,835.003,123.0,0.0,0.0,0.0
22591399399,2026-04-20,São Vicente Running,running,1850.864013671875,4112.43994140625,258.0,115.0,123.0,2.2219998836517334,2.733999967575073,3.0,1.399999976158142,0.0,16.041534423828125,RECOVERY,21,7,-5,25.0,28.0,São Vicente,1760.455,64.987,0.0,0.0,0.0
22582184824,2026-04-19,São Vicente Running,running,6082.05322265625,14771.1201171875,1030.0,140.0,172.0,2.428999900817871,3.573999881744385,290.0,3.200000047683716,0.0,86.37214660644531,AEROBIC_BASE,10,91,-16,28.0,33.0,São Vicente,137.302,4898.938,1039.51,0.0,0.0
22573806714,2026-04-18,Pool Swim,lap_swimming,3584.465087890625,1400.0,449.0,119.0,157.0,0.6449999809265137,1.8040000200271606,,2.0999999046325684,1.100000023841858,41.69102478027344,AEROBIC_BASE,38,17,,,,,1913.993,1487.69,15.071,0.0,0.0
22567705676,2026-04-18,São Vicente Cycling,cycling,5660.703125,35006.7109375,738.0,125.0,150.0,6.184000015258789,9.312000274658203,62.0,2.299999952316284,0.0,40.24342346191406,AEROBIC_BASE,58,33,-14,24.0,28.0,São Vicente,1565.309,4057.041,0.0,0.0,0.0
22556772546,2026-04-17,Pool Swim,lap_swimming,3146.60009765625,1225.0,353.0,113.0,163.0,0.6449999809265137,1.8259999752044678,,2.0,0.8999999761581421,32.991455078125,RECOVERY,30,12,,,,,1800.015,782.468,53.411,0.0,0.0
22544552811,2026-04-16,São Vicente - Tiros 3x2km,running,2605.87890625,8265.400390625,529.0,146.0,178.0,3.1719999313354497,4.105999946594238,2.0,3.700000047683716,0.0,121.67604064941406,TEMPO,1,42,-11,25.0,28.0,São Vicente,411.783,762.572,1399.374,0.0,0.0
22534937806,2026-04-15,Santos Open Water Swimming,open_water_swimming,849.3610229492188,502.9100036621094,156.0,139.0,160.0,0.5920000076293945,1.0240000486373901,,2.299999952316284,0.5,43.795928955078125,RECOVERY,3,29,-5,24.0,25.0,Santos,98.137,587.13,164.08,0.0,0.0
22532895474,2026-04-15,São Vicente Cycling,cycling,5026.14990234375,30803.140625,497.0,112.0,131.0,6.129000186920166,7.697999954223633,30.0,1.7000000476837158,0.0,18.705123901367188,AEROBIC_BASE,69,2,-12,22.0,28.0,São Vicente,4615.644,231.118,0.0,0.0,0.0
22519994352,2026-04-14,São Vicente - Cycling Threshold,cycling,2631.544921875,17242.0703125,449.0,134.0,165.0,6.552000045776367,8.062000274658203,8.0,3.0999999046325684,0.20000000298023224,77.05517578125,AEROBIC_BASE,15,28,-9,23.0,29.0,São Vicente,556.209,1064.606,798.935,0.0,0.0
22516223620,2026-04-13,Strength,strength_training,2229.76806640625,0.0,161.0,95.0,137.0,0.0,,,0.5,0.0,6.37652587890625,AEROBIC_BASE,15,1,-2,,,,790.506,105.997,0.0,0.0,0.0
22499710746,2026-04-12,São Vicente Running,running,3759.844970703125,10339.0595703125,644.0,129.0,159.0,2.75,4.982999801635742,9.0,3.0,0.20000000298023224,66.60955810546875,AEROBIC_BASE,6,74,-11,28.0,35.0,São Vicente,593.318,2787.196,326.61,0.0,0.0
22498409124,2026-04-11,Pool Swim,lap_swimming,2490.218994140625,1025.0,305.0,119.0,159.0,0.6809999942779541,1.0099999904632568,,1.899999976158142,0.30000001192092896,25.654876708984375,RECOVERY,25,12,,,,,1421.459,890.375,16.645,0.0,0.0
22486705256,2026-04-11,São Vicente Cycling,cycling,7203.32421875,45233.140625,866.0,125.0,152.0,6.27899980545044,8.54699993133545,45.0,2.5999999046325684,0.5,53.99391174316406,AEROBIC_BASE,98,19,-19,22.0,27.0,São Vicente,2399.291,4762.395,1.0,0.0,0.0
22474954151,2026-04-10,Pool Swim,lap_swimming,2898.527099609375,1225.0,299.0,108.0,149.0,0.6660000085830688,1.3389999866485596,,1.100000023841858,0.20000000298023224,15.6484375,RECOVERY,41,1,,,,,2131.115,240.906,0.0,0.0,0.0
22463119025,2026-04-09,São Vicente Running,running,3760.85693359375,9257.4697265625,632.0,130.0,177.0,2.4619998931884766,3.3499999046325684,210.0,2.9000000953674316,0.0,64.36448669433594,AEROBIC_BASE,9,55,-14,29.0,31.0,São Vicente,1186.146,1945.471,584.24,0.0,0.0
22450461656,2026-04-08,Pool Swim,lap_swimming,2976.75,1325.0,344.0,114.0,151.0,0.7620000243186951,1.797999978065491,,1.5,0.5,23.248458862304688,RECOVERY,41,5,,,,,1751.211,815.416,0.0,0.0,0.0
