data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-12-08,346.0,93.0,253.0,0.0,6.0,0,,53,POOR,0,POOR,27,EXCELLENT,73,FAIR,POOR,EXCELLENT,NEGATIVE_NOT_ENOUGH_REM,STRESS_NEG_POOR_SLEEP_STRESSFUL_EVENING,,,61.0,53,14.0,10.0,18.0,28.0,32,480,510,NO_CHANGE,NO_CHANGE
2025-12-09,421.0,107.0,249.0,65.0,7.0,0,,79,FAIR,15,FAIR,25,EXCELLENT,59,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,52.0,48,13.0,9.0,19.0,20.0,68,480,540,NO_CHANGE,INCREASING
2025-12-10,419.0,105.0,254.0,60.0,0.0,0,,79,FAIR,14,FAIR,25,EXCELLENT,61,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_FAIR_OR_POOR_SLEEP_RESTFUL_DAY,,,53.0,49,13.0,8.0,18.0,19.0,62,480,520,NO_CHANGE,INCREASING
2025-12-11,373.3,102.0,208.0,64.0,8.0,1,,72,FAIR,17,FAIR,27,EXCELLENT,56,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,51.0,47,13.0,8.0,18.0,23.0,57,480,480,NO_CHANGE,NO_CHANGE
2025-12-12,466.2,111.0,253.0,103.0,7.0,1,,84,GOOD,22,GOOD,24,EXCELLENT,54,EXCELLENT,FAIR,EXCELLENT,POSITIVE_LONG_AND_DEEP,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,53.0,47,12.0,6.0,17.0,23.0,68,480,520,NO_CHANGE,INCREASING
2025-12-13,417.0,86.0,245.0,86.0,4.0,0,,84,GOOD,21,FAIR,21,EXCELLENT,59,FAIR,GOOD,EXCELLENT,POSITIVE_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,51.0,48,12.0,6.0,19.0,14.0,61,480,480,NO_CHANGE,NO_CHANGE
2025-12-14,472.0,143.0,278.0,51.0,8.0,0,,83,GOOD,11,POOR,30,EXCELLENT,59,EXCELLENT,FAIR,EXCELLENT,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,STRESS_NEG_GOOD_OR_WORSE_SLEEP_STRESSFUL_DAY,,,53.0,49,13.0,7.0,20.0,19.0,58,480,480,NO_CHANGE,NO_CHANGE
2025-12-15,391.0,97.0,238.0,56.0,20.0,1,,74,FAIR,14,FAIR,25,EXCELLENT,61,FAIR,FAIR,GOOD,POSITIVE_DEEP,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,54.0,45,14.0,8.0,20.0,21.0,50,480,500,DAILY_ACTIVITY,INCREASING
2025-12-16,412.0,141.0,189.0,82.0,8.0,1,,80,GOOD,20,FAIR,34,EXCELLENT,46,FAIR,FAIR,EXCELLENT,POSITIVE_DEEP,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,48.0,45,13.0,8.0,17.0,18.0,74,480,500,NO_CHANGE,NO_CHANGE
2025-12-17,388.4,70.0,289.0,30.0,33.0,3,,65,FAIR,8,POOR,18,EXCELLENT,74,FAIR,FAIR,FAIR,NEGATIVE_NOT_ENOUGH_REM,STRESS_NEG_GOOD_OR_WORSE_SLEEP_STRESSFUL_DAY,,,57.0,47,13.0,8.0,19.0,24.0,52,480,500,NO_CHANGE,NO_CHANGE
2025-12-18,461.0,105.0,234.0,122.0,1.0,0,,95,EXCELLENT,26,EXCELLENT,23,EXCELLENT,51,EXCELLENT,EXCELLENT,EXCELLENT,POSITIVE_OPTIMAL_STRUCTURE,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,50.0,46,12.0,7.0,19.0,12.0,77,480,530,NO_CHANGE,NO_CHANGE
2025-12-19,450.0,120.0,288.0,42.0,27.0,2,,73,FAIR,9,POOR,27,EXCELLENT,64,GOOD,FAIR,FAIR,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,STRESS_NEG_GOOD_OR_FAIR_SLEEP_STRESSFUL_EVENING,,,60.0,48,14.0,9.0,20.0,23.0,46,480,480,NO_CHANGE,NO_CHANGE
2025-12-20,426.0,106.0,252.0,68.0,1.0,0,,80,GOOD,16,FAIR,25,EXCELLENT,59,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,MOD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_VIGOROUS_DURING_DAY,,,53.0,50,13.0,10.0,18.0,20.0,64,480,500,NO_CHANGE,NO_CHANGE
2025-12-21,444.9,87.0,327.0,31.0,4.0,0,,70,FAIR,7,POOR,20,EXCELLENT,73,GOOD,FAIR,EXCELLENT,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,STRESS_NEG_GOOD_OR_WORSE_SLEEP_STRESSFUL_DAY,,,57.0,50,13.0,7.0,19.0,24.0,58,480,480,NO_CHANGE,NO_CHANGE
